Unnamed: 0,location_id,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust
0,1,2022-08-04 00:00:00+00:00,134.6,83.8,495,52.5,85.5,58,0.59,32
1,1,2022-08-04 01:00:00+00:00,137.8,85.7,527,57.8,96.0,51,0.58,33
2,1,2022-08-04 02:00:00+00:00,156.9,99.0,572,65.3,110.9,40,0.57,34
3,1,2022-08-04 03:00:00+00:00,175.6,111.3,625,73.2,127.9,32,0.57,37
4,1,2022-08-04 04:00:00+00:00,181.1,114.6,607,70.8,122.6,33,0.57,41
5,1,2022-08-04 05:00:00+00:00,183.5,114.6,571,65.3,111.1,39,0.59,47
6,1,2022-08-04 06:00:00+00:00,193.7,120.1,677,75.8,142.2,56,0.61,52
7,1,2022-08-04 07:00:00+00:00,239.3,151.8,977,109.6,238.6,81,0.63,53
8,1,2022-08-04 08:00:00+00:00,389.3,256.1,1400,157.6,374.1,113,0.68,51
9,1,2022-08-04 09:00:00+00:00,633.3,427.5,1965,222.2,528.8,149,0.77,49
10,1,2022-08-04 10:00:00+00:00,849.4,579.3,2395,270.9,604.4,168,0.88,47
11,1,2022-08-04 11:00:00+00:00,903.4,616.5,2833,320.5,659.8,182,0.92,45
12,1,2022-08-04 12:00:00+00:00,938.8,640.7,3273,379.5,695.2,180,0.93,50
13,1,2022-08-04 13:00:00+00:00,851.2,579.3,2934,351.7,594.2,161,0.89,45
14,1,2022-08-04 14:00:00+00:00,678.0,460.1,2449,311.5,450.1,135,0.76,39
15,1,2022-08-04 15:00:00+00:00,484.3,326.9,1824,252.4,280.4,105,0.62,31
16,1,2022-08-04 16:00:00+00:00,346.5,231.4,1434,203.6,201.4,95,0.54,27
17,1,2022-08-04 17:00:00+00:00,233.3,153.2,1067,150.7,143.2,90,0.5,25
18,1,2022-08-04 18:00:00+00:00,183.5,119.7,709,95.2,90.1,86,0.49,22
19,1,2022-08-04 19:00:00+00:00,164.4,107.6,600,75.1,70.7,82,0.48,20
20,1,2022-08-04 20:00:00+00:00,156.9,102.4,590,67.1,67.9,79,0.47,19
21,1,2022-08-04 21:00:00+00:00,145.8,95.5,590,60.5,68.8,75,0.47,17
22,1,2022-08-04 22:00:00+00:00,127.6,82.9,550,54.2,66.2,73,0.47,16
23,1,2022-08-04 23:00:00+00:00,114.1,73.6,508,49.8,65.3,72,0.46,15
24,1,2022-08-05 00:00:00+00:00,90.1,57.5,393,42.0,52.7,76,0.45,13
25,1,2022-08-05 01:00:00+00:00,82.9,52.6,389,43.1,54.0,71,0.45,13
26,1,2022-08-05 02:00:00+00:00,80.8,51.3,384,44.6,55.8,63,0.45,13
27,1,2022-08-05 03:00:00+00:00,82.7,52.6,383,46.5,61.1,57,0.46,14
28,1,2022-08-05 04:00:00+00:00,84.3,53.7,366,45.8,62.4,57,0.47,15
29,1,2022-08-05 05:00:00+00:00,91.7,58.4,347,44.6,64.0,59,0.48,16
30,1,2022-08-05 06:00:00+00:00,101.5,65.0,421,49.2,90.3,71,0.5,17
31,1,2022-08-05 07:00:00+00:00,137.8,89.9,609,59.0,144.6,94,0.52,17
32,1,2022-08-05 08:00:00+00:00,220.3,147.1,875,73.2,218.1,125,0.55,18
33,1,2022-08-05 09:00:00+00:00,364.1,246.8,1249,101.2,308.9,157,0.58,18
34,1,2022-08-05 10:00:00+00:00,502.9,343.7,1575,137.7,369.8,168,0.61,19
35,1,2022-08-05 11:00:00+00:00,601.6,412.6,1927,182.5,426.6,171,0.64,19
36,1,2022-08-05 12:00:00+00:00,374.4,249.6,1746,186.4,478.7,175,0.73,34
37,1,2022-08-05 13:00:00+00:00,337.1,223.1,1562,178.3,389.9,161,0.74,34
38,1,2022-08-05 14:00:00+00:00,265.4,171.8,1299,166.4,263.5,141,0.74,33
39,1,2022-08-05 15:00:00+00:00,185.8,115.5,969,143.3,123.4,123,0.74,32
40,1,2022-08-05 16:00:00+00:00,135.0,79.9,777,115.6,73.9,124,0.74,31
